stop,split,name,n,gm_rel_mase
B9_k0_bb40k_student,domain,Nature,15,1.133437
B9_k0_bb40k_student,domain,Sales,4,0.959046
B9_k0_bb40k_student,domain,Transport,15,1.418072
B9_k0_bb40k_student,domain,Web/CloudOps,20,1.723699
B9_k0_bb100k_student,all,all,97,1.454786
B9_k0_bb100k_student,term,long,21,1.821558
B9_k0_bb100k_student,term,medium,21,1.773919
B9_k0_bb100k_student,term,short,55,1.237740
B9_k0_bb100k_student,domain,Econ/Fin,6,1.882444
B9_k0_bb100k_student,domain,Energy,32,1.708303
B9_k0_bb100k_student,domain,Healthcare,5,1.313922
B9_k0_bb100k_student,domain,Nature,15,1.059545
B9_k0_bb100k_student,domain,Sales,4,0.965202
B9_k0_bb100k_student,domain,Transport,15,1.308352
B9_k0_bb100k_student,domain,Web/CloudOps,20,1.592601
B9_k0_bb200k_student,all,all,97,1.330817
B9_k0_bb200k_student,term,long,21,1.514992
B9_k0_bb200k_student,term,medium,21,1.590377
B9_k0_bb200k_student,term,short,55,1.183257
B9_k0_bb200k_student,domain,Econ/Fin,6,1.823121
B9_k0_bb200k_student,domain,Energy,32,1.594258
B9_k0_bb200k_student,domain,Healthcare,5,1.225178
B9_k0_bb200k_student,domain,Nature,15,0.953551
B9_k0_bb200k_student,domain,Sales,4,0.897749
B9_k0_bb200k_student,domain,Transport,15,1.225946
B9_k0_bb200k_student,domain,Web/CloudOps,20,1.368021
B10_k0_bb40k_student,all,all,97,1.379123
B10_k0_bb40k_student,term,long,21,1.693836
B10_k0_bb40k_student,term,medium,21,1.734800
B10_k0_bb40k_student,term,short,55,1.168078
B10_k0_bb40k_student,domain,Econ/Fin,6,1.686034
B10_k0_bb40k_student,domain,Energy,32,1.663412
B10_k0_bb40k_student,domain,Healthcare,5,1.075869
B10_k0_bb40k_student,domain,Nature,15,0.995696
B10_k0_bb40k_student,domain,Sales,4,0.878716
B10_k0_bb40k_student,domain,Transport,15,1.126686
B10_k0_bb40k_student,domain,Web/CloudOps,20,1.664399
B10_k0_bb100k_student,all,all,97,1.391351
B10_k0_bb100k_student,term,long,21,1.657315
B10_k0_bb100k_student,term,medium,21,1.664343
B10_k0_bb100k_student,term,short,55,1.215410
B10_k0_bb100k_student,domain,Econ/Fin,6,2.209033
B10_k0_bb100k_student,domain,Energy,32,1.671365
B10_k0_bb100k_student,domain,Healthcare,5,1.358939
B10_k0_bb100k_student,domain,Nature,15,0.964772
B10_k0_bb100k_student,domain,Sales,4,0.900839
B10_k0_bb100k_student,domain,Transport,15,1.166068
B10_k0_bb100k_student,domain,Web/CloudOps,20,1.489025
